disease_mondo_term_norm,disease_mondo_termid,Disease Class
"Acathisia, Drug Induced",-1,Neurotoxicity Syndromes
"Acathisia, Drug-Induced",-1,Neurotoxicity Syndromes
accessory nerve disorder,MONDO:0002636,Cranial Nerve Diseases
Accessory Nerve Injuries,-1,Cranial Nerve Diseases
Accessory Nerve Injury,-1,Cranial Nerve Diseases
Accessory Nerve Trauma,-1,Cranial Nerve Diseases
Accessory Nerve Traumas,-1,Cranial Nerve Diseases
"Accessory Neuropathies, Traumatic",-1,Cranial Nerve Diseases
"Accessory Neuropathy, Traumatic",-1,Cranial Nerve Diseases
Acephaly,-1,Diseases of the nervous system
acetazolamide-responsive myotonia,MONDO:0020483,Diseases of the nervous system
glycogen storage disease II,MONDO:0009290,Central Nervous System Diseases
Farber lipogranulomatosis,MONDO:0009218,Central Nervous System Diseases
Gaucher disease type I,MONDO:0009265,Central Nervous System Diseases
hidradenitis suppurativa,MONDO:0006559,Diseases of the nervous system
acoustic neuroma,MONDO:0001569,Cranial Nerve Diseases
NF2-related schwannomatosis,MONDO:0007039,Cranial Nerve Diseases
auditory perceptual disorders,MONDO:0024422,Neurologic Manifestations
Landau-Kleffner syndrome,MONDO:0009509,Central Nervous System Diseases
alexia,MONDO:0001712,Neurologic Manifestations
Acquired Oculomotor nerve palsy,-1,Diseases of the nervous system
acquired ataxia,MONDO:0016593,Diseases of the nervous system
"Acquired brain deformity, not elsewhere classified",-1,Diseases of the nervous system
conductive hearing loss disorder,MONDO:0020679,Diseases of the nervous system
Acquired hearing impairment,-1,Diseases of the nervous system
isolated anhidrosis with normal sweat glands,MONDO:0007118,Diseases of the nervous system
"hearing loss, mixed conductive-sensorineural",MONDO:0044001,Diseases of the nervous system
optic atrophy,MONDO:0003608,Diseases of the nervous system
acquired porencephaly,MONDO:0017815,Diseases of the nervous system
acquired human prion disease,MONDO:0035562,Diseases of the nervous system
sensorineural hearing loss disorder,MONDO:0020678,Diseases of the nervous system
Acquired structural lesions of the autonomic nervous system,-1,Diseases of the nervous system
fourth cranial nerve palsy,MONDO:0001146,Diseases of the nervous system
acrocallosal syndrome,MONDO:0008708,Nervous System Malformations
Acrodynia,-1,Neurotoxicity Syndromes
Acrodynic Erythema,-1,Neurotoxicity Syndromes
acromegaly,MONDO:0019933,Central Nervous System Diseases
Acroparaesthesia,-1,Diseases of the nervous system
"Acroparaesthesia, simple",-1,Diseases of the nervous system
"Acroparaesthesia, vasomotor",-1,Diseases of the nervous system
"congenital myopathy 2a, typical, autosomal dominant",MONDO:0008070,Diseases of the nervous system
Tay-Sachs disease,MONDO:0010100,Central Nervous System Diseases
"Tay-Sachs disease, B variant, adult form",MONDO:0017726,Central Nervous System Diseases
acute disseminated encephalomyelitis,MONDO:0019383,Central Nervous System Diseases
Acute Febrile Encephalopathies,-1,Central Nervous System Diseases
Acute Febrile Encephalopathy,-1,Central Nervous System Diseases
acute hemorrhagic leukoencephalitis,MONDO:0011716,Autoimmune Diseases of the Nervous System
Acute Idiopathic Facial Neuropathy,-1,Cranial Nerve Diseases
Acute Inflammatory Facial Neuropathy,-1,Cranial Nerve Diseases
poliomyelitis,MONDO:0017373,Neuromuscular Diseases
Acute Subdural Hematoma,-1,"Trauma, Nervous System"
Acute Subdural Hematomas,-1,"Trauma, Nervous System"
Acute alcoholic myopathy,-1,Diseases of the nervous system
Acute and transient psychotic disorder,-1,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode",-1,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode, currently symptomatic",-1,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode, in full remission",-1,Diseases of the nervous system
"Acute and transient psychotic disorder, first episode, in partial remission",-1,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes",-1,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes, currently symptomatic",-1,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes, in full remission",-1,Diseases of the nervous system
"Acute and transient psychotic disorder, multiple episodes, in partial remission",-1,Diseases of the nervous system
anterior spinal artery stroke,MONDO:0021896,Diseases of the nervous system
"spinal muscular atrophy, type 1",MONDO:0009669,Diseases of the nervous system
Acute atrophic spinal paralysis,-1,Diseases of the nervous system
"Acute back pain, not otherwise specified",-1,Diseases of the nervous system
Acute bulbar polioencephalitis,-1,Diseases of the nervous system
stroke disorder,MONDO:0005098,Diseases of the nervous system
Acute cerebrovascular insufficiency,-1,Diseases of the nervous system
dystonic disorder,MONDO:0003441,Diseases of the nervous system
Acute glossopharyngeal zoster neuropathy,-1,Diseases of the nervous system
Acute headache associated with craniotomy,-1,Diseases of the nervous system
Acute headache associated with mild traumatic injury to the head,-1,Diseases of the nervous system
Acute headache associated with moderate or severe injury to the head,-1,Diseases of the nervous system
Acute headache associated with traumatic injury to the head,-1,Diseases of the nervous system
Acute headache associated with whiplash injury,-1,Diseases of the nervous system
geniculate herpes zoster,MONDO:0005769,Diseases of the nervous system
Guillain-Barre syndrome,MONDO:0016218,Diseases of the nervous system
Acute intoxication by the combined effects of fentanyl and heroin,-1,Diseases of the nervous system
Acute intoxication due to fentanyl,-1,Diseases of the nervous system
Acute methadone intoxication,-1,Diseases of the nervous system
Acute methamphetamine intoxication,-1,Diseases of the nervous system
acute motor axonal neuropathy,MONDO:0020349,Diseases of the nervous system
acute motor and sensory axonal neuropathy,MONDO:0020348,Diseases of the nervous system
obsolete facial nerve palsy due to herpes zoster infection,MONDO:0017606,Diseases of the nervous system
acute nonparalytic poliomyelitis,MONDO:0003231,Diseases of the nervous system
autoimmune autonomic ganglionopathy,MONDO:0016499,Diseases of the nervous system
bulbar polio,MONDO:0005684,Diseases of the nervous system
"Acute paralytic poliomyelitis, wild virus, imported",-1,Diseases of the nervous system
"Acute paralytic poliomyelitis, wild virus, indigenous",-1,Diseases of the nervous system
Acute repetitive seizures,-1,Diseases of the nervous system
alcohol withdrawal delirium,MONDO:0006642,Diseases of the nervous system
Acute seizures due to central nervous system infections or infestations,-1,Diseases of the nervous system
acute sensory ataxic neuropathy,MONDO:0016500,Diseases of the nervous system
acute pure sensory neuropathy,MONDO:0016498,Diseases of the nervous system
toxic encephalopathy,MONDO:0005527,Diseases of the nervous system
Acute toxicity due to early brain irradiation,-1,Diseases of the nervous system
acute transverse myelitis,MONDO:0015342,Diseases of the nervous system
Acute traumatic subdural haemorrhage,-1,Diseases of the nervous system
postherpetic neuralgia,MONDO:0041052,Diseases of the nervous system
Acute venous infarction of the spinal cord,-1,Diseases of the nervous system
Acute vestibular syndrome,-1,Diseases of the nervous system
Acute vestibular syndrome due to acute attack of episodic vestibular disorder,-1,Diseases of the nervous system
Acute vestibular syndrome due to anxiety or fear-related disorders,-1,Diseases of the nervous system
Acute vestibular syndrome due to cerebrovascular disease,-1,Diseases of the nervous system
Acute vestibular syndrome due to injury to the head,-1,Diseases of the nervous system
Acute whiplash associated disorder with complaint of neck pain with musculoskeletal signs,-1,Diseases of the nervous system
Acute whiplash associated disorder with complaint of neck pain with neurological signs,-1,Diseases of the nervous system
"Acute whiplash associated disorder with complaint of neck pain, stiffness or tenderness only",-1,Diseases of the nervous system
Acute whiplash injury associated with pain disorders,-1,Diseases of the nervous system
Adenohypophyseal Hyposecretion,-1,Central Nervous System Diseases
prolactin-producing pituitary gland adenoma,MONDO:0010911,Central Nervous System Diseases
growth hormone-producing pituitary gland adenoma,MONDO:0006238,Central Nervous System Diseases
arachnoiditis,MONDO:0015304,Diseases of the nervous system
Holmes-Adie syndrome,MONDO:0018690,Neurologic Manifestations
adjustment disorder,MONDO:0003265,Diseases of the nervous system
Adjustment reaction with destructiveness,-1,Diseases of the nervous system
juvenile myoclonic epilepsy,MONDO:0009696,Central Nervous System Diseases
adrenoleukodystrophy,MONDO:0018544,Central Nervous System Diseases
adult Krabbe disease,MONDO:0016091,Diseases of the nervous system
Adult Neurologic Saturnism,-1,Neurotoxicity Syndromes
adult Refsum disease,MONDO:0009958,Nervous System Malformations
adult dermatomyositis,MONDO:0001907,Diseases of the nervous system
adult intestinal botulism,MONDO:0015806,Diseases of the nervous system
"metachromatic leukodystrophy, juvenile form",MONDO:0009591,Diseases of the nervous system
"spinal muscular atrophy, type IV",MONDO:0010056,Diseases of the nervous system
adult-onset autosomal dominant demyelinating leukodystrophy,MONDO:0008215,Diseases of the nervous system
autosomal recessive Parkinson disease 14,MONDO:0013060,Diseases of the nervous system
early-onset generalized limb-onset dystonia,MONDO:0007492,Diseases of the nervous system
"leukoencephalopathy, diffuse hereditary, with spheroids 1",MONDO:0800027,Diseases of the nervous system
adult-onset nemaline myopathy,MONDO:0015739,Diseases of the nervous system
chronic tic disorder,MONDO:0001074,Diseases of the nervous system
Alzheimer disease 2,MONDO:0007089,Diseases of the nervous system
"circadian rhythm sleep disorder, advanced sleep phase type",MONDO:0024378,Diseases of the nervous system
Adverse outcome following fetal skin biopsy,-1,Diseases of the nervous system
hyperkalemic periodic paralysis,MONDO:0008224,Neuromuscular Diseases
olfactory neuroblastoma,MONDO:0006329,Cranial Nerve Diseases
Age-associated cognitive decline,-1,Diseases of the nervous system
Aicardi syndrome,MONDO:0010568,Nervous System Malformations
Kozlowski Ouvrier syndrome,MONDO:0023569,Nervous System Malformations
amusia,MONDO:0000662,Neurologic Manifestations
Agitated Emergence,-1,Neurologic Manifestations
Agitated depression single episode without psychotic symptoms,-1,Diseases of the nervous system
Agitation or aggression in dementia,-1,Diseases of the nervous system
"Agitation, Emergence",-1,Neurologic Manifestations
"Agitation, Psychomotor",-1,Neurologic Manifestations
"Agitations, Emergence",-1,Neurologic Manifestations
agnosia,MONDO:0005638,Diseases of the nervous system|Neurologic Manifestations
Agnosia for Face,-1,Neurologic Manifestations
Agnosia for Faces,-1,Neurologic Manifestations
"Agnosia, Facial Recognition",-1,Neurologic Manifestations
alexia without agraphia,MONDO:0000686,Neurologic Manifestations
"Agnosias, Facial Recognition",-1,Neurologic Manifestations
agoraphobia,MONDO:0003709,Diseases of the nervous system
Agrammatism,-1,Diseases of the nervous system
agraphia,MONDO:0000716,Diseases of the nervous system|Neurologic Manifestations
agyria pachygyria polymicrogyria,MONDO:0022401,Nervous System Malformations
"Air embolism following infusion, transfusion or therapeutic injection",-1,Diseases of the nervous system
"Airocele, Cranial",-1,Central Nervous System Diseases
"Airoceles, Cranial",-1,Central Nervous System Diseases
Airocoele,-1,Diseases of the nervous system
Akathisia,-1,Diseases of the nervous system
drug-induced akathisia,MONDO:0006731,Diseases of the nervous system
akinetic mutism,MONDO:0005640,Diseases of the nervous system
Alalia,-1,Diseases of the nervous system
"Alcohol Abuse, Nervous System",-1,Neurotoxicity Syndromes
alcohol amnestic disorder,MONDO:0021702,Neurotoxicity Syndromes
"Alcohol Induced Disorders, Nervous System",-1,Neurotoxicity Syndromes
alcoholic polyneuropathy,MONDO:0006645,Neurotoxicity Syndromes
Alcohol Related Seizures,-1,Neurotoxicity Syndromes
Alcohol Withdrawal Seizure,-1,Neurotoxicity Syndromes
Alcohol Withdrawal-Induced Seizure,-1,Neurotoxicity Syndromes
alcohol abuse,MONDO:0002046,Diseases of the nervous system
"Alcohol dependence, current use, continuous",-1,Diseases of the nervous system
"Alcohol dependence, current use, episodic",-1,Diseases of the nervous system
"Alcohol dependence, early full remission",-1,Diseases of the nervous system
"Alcohol dependence, sustained full remission",-1,Diseases of the nervous system
"Alcohol dependence, sustained partial remission",-1,Diseases of the nervous system
alcohol withdrawal,MONDO:0005433,Diseases of the nervous system
Alcohol withdrawal with perceptual disturbances,-1,Diseases of the nervous system
Alcohol withdrawal with perceptual disturbances and seizures,-1,Diseases of the nervous system
"Alcohol-Induced Disorders, Nervous System",-1,Neurotoxicity Syndromes
Alcohol-Related Seizure,-1,Neurotoxicity Syndromes
Wernicke-Korsakoff syndrome,MONDO:0010198,Neurotoxicity Syndromes
Alcohol-induced anxiety disorder,-1,Diseases of the nervous system
alcohol-induced mental disorder,MONDO:0002326,Diseases of the nervous system
