disease_mondo_term_norm,disease_mondo_termid,Disease Class
auditory agnosia,MONDO:0000667,Diseases of the nervous system
verbal auditory agnosia,MONDO:0000684,Diseases of the nervous system
Meniere disease,MONDO:0007972,Diseases of the nervous system
Aujeszky Disease,-1,Central Nervous System Diseases
Aujeszky's Disease,-1,Central Nervous System Diseases
Aujeszkys Disease,-1,Central Nervous System Diseases
Aura,-1,Diseases of the nervous system
Rett syndrome,MONDO:0010726,Neurologic Manifestations
CNS demyelinating autoimmune disease,MONDO:0006704,Autoimmune Diseases of the Nervous System
"Autoimmune Disease Models, Nervous System",-1,Autoimmune Diseases of the Nervous System
autoimmune disorder of the nervous system,MONDO:0002977,Autoimmune Diseases of the Nervous System
myasthenia gravis,MONDO:0009688,Autoimmune Diseases of the Nervous System
primary hypophysitis,MONDO:0019835,Central Nervous System Diseases
autoimmune neuropathy,MONDO:0000774,Autoimmune Diseases of the Nervous System
"Autoimmune autonomic neuropathy, other neural autoantibody positive",-1,Diseases of the nervous system
neuralgic amyotrophy,MONDO:0017362,Diseases of the nervous system
non-specific autoimmune brainstem encephalitis without characteristic antibodies,MONDO:0850106,Diseases of the nervous system
non-specific autoimmune brainstem encephalitis with characteristic antibodies,MONDO:0850105,Diseases of the nervous system
immune-mediated cerebellar ataxia,MONDO:0859692,Diseases of the nervous system
non-specific autoimmune cerebellar ataxia without characteristic antibodies,MONDO:0850109,Diseases of the nervous system
non-specific autoimmune cerebellar ataxia with characteristic antibodies,MONDO:0850108,Diseases of the nervous system
choreatic disease,MONDO:0001595,Diseases of the nervous system
Autoimmune dyskinesia,-1,Diseases of the nervous system
Autoimmune dystonia,-1,Diseases of the nervous system
autoimmune encephalitis,MONDO:0020640,Diseases of the nervous system
Autoimmune generalised polymyoclonus,-1,Diseases of the nervous system
Autoimmune hyperexcitability syndrome with continuous muscle fibre activity or Morvan syndrome,-1,Diseases of the nervous system
autoimmune inner ear disease,MONDO:0022518,Diseases of the nervous system
autoimmune limbic encephalitis,MONDO:0850097,Diseases of the nervous system
"Autoimmune motor neuropathy, neural autoantibody negative",-1,Diseases of the nervous system
"Autoimmune motor neuropathy, neural autoantibody positive",-1,Diseases of the nervous system
Autoimmune movement disorder,-1,Diseases of the nervous system
"Autoimmune movement disorder, autoantibody negative",-1,Diseases of the nervous system
"Autoimmune movement disorder, autoantibody positive",-1,Diseases of the nervous system
Autoimmune myelopathy,-1,Diseases of the nervous system
"Autoimmune myelopathy, neural autoantibody negative",-1,Diseases of the nervous system
"Autoimmune myelopathy, neural autoantibody positive",-1,Diseases of the nervous system
Autoimmune myoclonus,-1,Diseases of the nervous system
immune-mediated necrotizing myopathy,MONDO:0016098,Diseases of the nervous system
Autoimmune opsoclonus myoclonus,-1,Diseases of the nervous system
autoimmune optic neuritis,MONDO:0031013,Diseases of the nervous system
Autoimmune radiculoplexoneuropathy,-1,Diseases of the nervous system
autoimmune retinopathy,MONDO:0100014,Diseases of the nervous system
"Autoimmune sensorimotor neuropathy, neural autoantibody negative",-1,Diseases of the nervous system
"Autoimmune sensorimotor neuropathy, neural autoantibody positive",-1,Diseases of the nervous system
"Autoimmune sensory ganglionopathy, neural autoantibody negative",-1,Diseases of the nervous system
"Autoimmune sensory ganglionopathy, neural autoantibody positive",-1,Diseases of the nervous system
"neuropathy, hereditary sensory, atypical",MONDO:0009751,Diseases of the nervous system
"Autoimmune sensory neuropathy, neural autoantibody positive",-1,Diseases of the nervous system
Automatism,-1,Diseases of the nervous system
autonomic dysreflexia,MONDO:0043975,Autonomic Nervous System Diseases
obsolete botulism,MONDO:0015258,Diseases of the nervous system
Chagas disease,MONDO:0001444,Diseases of the nervous system
Autonomic disorder due to Diphtheria,-1,Diseases of the nervous system
Autonomic disorder due to Encephalitis,-1,Diseases of the nervous system
Autonomic disorder due to Encephalitis with voltage gated potassium channel antibodies,-1,Diseases of the nervous system
Autonomic disorder due to HIV infection,-1,Diseases of the nervous system
Autonomic disorder due to Leprosy,-1,Diseases of the nervous system
Autonomic disorder due to Multiple Sclerosis,-1,Diseases of the nervous system
Autonomic disorder due to Tetanus,-1,Diseases of the nervous system
Autonomic disorder due to Wernicke-Korsakoff syndrome,-1,Diseases of the nervous system
Autonomic disorder due to certain specified infection,-1,Diseases of the nervous system
Lewy body dementia,MONDO:0007488,Diseases of the nervous system
Autonomic disorder due to glutamic acid decarboxylase antibodies,-1,Diseases of the nervous system
Autonomic disorder due to stimulant intoxication,-1,Diseases of the nervous system
Autonomic disorder due to toxins,-1,Diseases of the nervous system
Autonomic dysfunction due to Acrylamide exposure,-1,Diseases of the nervous system
Autonomic dysfunction due to Marine toxin exposure,-1,Diseases of the nervous system
Autonomic dysfunction due to Organic solvent exposure,-1,Diseases of the nervous system
Autonomic dysfunction due to Parkinson disease,-1,Diseases of the nervous system
Autonomic dysfunction due to Vacor exposure,-1,Diseases of the nervous system
Autonomic dysfunction due to heavy metal exposure,-1,Diseases of the nervous system
Autonomic dysfunction due to multisystem degeneration,-1,Diseases of the nervous system
autonomic facial cephalgia,MONDO:0022535,Diseases of the nervous system
Autonomic nervous system disorder due to certain specified neurodegenerative disorder,-1,Diseases of the nervous system
Autonomic nervous system disorder due to infection,-1,Diseases of the nervous system
Autonomic nervous system disorder due to metabolic disorder,-1,Diseases of the nervous system
Autonomic nervous system disorder due to myelopathies,-1,Diseases of the nervous system
Gerstmann-Straussler-Scheinker syndrome,MONDO:0007656,Diseases of the nervous system
Autonomic nervous system disorder due to substance withdrawal,-1,Diseases of the nervous system
Autonomic nervous system manifestations of seizures,-1,Diseases of the nervous system
autonomic neuropathy,MONDO:0001300,Diseases of the nervous system
diabetic autonomic neuropathy,MONDO:0001299,Diseases of the nervous system
Autonomic neuropathy due to Allgrove syndrome,-1,Diseases of the nervous system
Autonomic neuropathy due to Fabry√¢‚Ç¨‚Ñ¢s Disease,-1,Diseases of the nervous system
Autonomic neuropathy due to Refsum√¢‚Ç¨‚Ñ¢s Disease,-1,Diseases of the nervous system
Autonomic neuropathy due to Tangier√¢‚Ç¨‚Ñ¢s disease,-1,Diseases of the nervous system
Autonomic neuropathy due to multiple endocrine neoplasia type 2b,-1,Diseases of the nervous system
hereditary sensory and autonomic neuropathy,MONDO:0015364,Diseases of the nervous system
Autonomic neuropathy in endocrine and metabolic diseases,-1,Diseases of the nervous system
"cerebral amyloid angiopathy, APP-related",MONDO:0011583,Central Nervous System Diseases
autosomal dominant optic atrophy,MONDO:0020250,Cranial Nerve Diseases
Alzheimer disease 3,MONDO:0011913,Diseases of the nervous system
autosomal dominant Charcot-Marie-Tooth disease type 2M,MONDO:0016431,Diseases of the nervous system
Charcot-Marie-Tooth disease axonal type 2N,MONDO:0013212,Diseases of the nervous system
Charcot-Marie-Tooth disease axonal type 2O,MONDO:0013644,Diseases of the nervous system
autosomal dominant cerebellar ataxia,MONDO:0020380,Diseases of the nervous system
"neuronopathy, distal hereditary motor, autosomal dominant 8",MONDO:0010839,Diseases of the nervous system
autosomal dominant cerebellar ataxia type I,MONDO:0019792,Diseases of the nervous system
spinocerebellar ataxia 7,MONDO:0016163,Diseases of the nervous system
autosomal dominant cerebellar ataxia type III,MONDO:0019793,Diseases of the nervous system
autosomal dominant cerebellar ataxia type IV,MONDO:0019794,Diseases of the nervous system
autosomal dominant complex spastic paraplegia,MONDO:0015087,Diseases of the nervous system
hereditary spastic paraplegia 4,MONDO:0008438,Diseases of the nervous system
autosomal dominant dopa-responsive dystonia,MONDO:0971063,Diseases of the nervous system
autosomal dominant epilepsy with auditory features,MONDO:0010898,Diseases of the nervous system
"parkinson disease 3, autosomal dominant",MONDO:0011220,Diseases of the nervous system
torsion dystonia 7,MONDO:0011200,Diseases of the nervous system
obsolete autosomal dominant pure spastic paraplegia,MONDO:0015088,Diseases of the nervous system
autosomal dominant hypohidrotic ectodermal dysplasia,MONDO:0015884,Diseases of the nervous system
autosomal dominant nocturnal frontal lobe epilepsy,MONDO:0020300,Diseases of the nervous system
optic atrophy 3,MONDO:0008133,Diseases of the nervous system
autosomal dominant optic atrophy plus syndrome,MONDO:0014720,Diseases of the nervous system
autosomal dominant primary microcephaly,MONDO:0007988,Diseases of the nervous system
obsolete autosomal dominant proximal spinal muscular atrophy,MONDO:0016224,Diseases of the nervous system
"adult-onset proximal spinal muscular atrophy, autosomal dominant",MONDO:0008453,Diseases of the nervous system
autosomal dominant childhood-onset proximal spinal muscular atrophy,MONDO:0018190,Diseases of the nervous system
autosomal dominant spastic ataxia,MONDO:0017846,Diseases of the nervous system
hereditary spastic paraplegia 10,MONDO:0011408,Diseases of the nervous system
hereditary spastic paraplegia 12,MONDO:0011489,Diseases of the nervous system
hereditary spastic paraplegia 13,MONDO:0011532,Diseases of the nervous system
hereditary spastic paraplegia 17,MONDO:0010043,Diseases of the nervous system
hereditary spastic paraplegia 19,MONDO:0011785,Diseases of the nervous system
hereditary spastic paraplegia 29,MONDO:0012334,Diseases of the nervous system
hereditary spastic paraplegia 3A,MONDO:0008437,Diseases of the nervous system
hereditary spastic paraplegia 31,MONDO:0012453,Diseases of the nervous system
hereditary spastic paraplegia 37,MONDO:0012766,Diseases of the nervous system
hereditary spastic paraplegia 38,MONDO:0012867,Diseases of the nervous system
hereditary spastic paraplegia 42,MONDO:0012928,Diseases of the nervous system
hereditary spastic paraplegia 6,MONDO:0010878,Diseases of the nervous system
hereditary spastic paraplegia 8,MONDO:0011339,Diseases of the nervous system
autosomal dominant spastic paraplegia type 9,MONDO:0015091,Diseases of the nervous system
Charcot-Marie-Tooth disease axonal type 2K,MONDO:0011916,Diseases of the nervous system
autosomal recessive cerebellar ataxia,MONDO:0015244,Diseases of the nervous system
"ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",MONDO:0008842,Diseases of the nervous system
"spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2",MONDO:0018996,Diseases of the nervous system
Autosomal recessive ataxias due to POLG mutations,-1,Diseases of the nervous system
Autosomal recessive ataxias due to POLG mutations SANDO,-1,Diseases of the nervous system
dilated cardiomyopathy 2A,MONDO:0012746,Diseases of the nervous system
autosomal recessive centronuclear myopathy,MONDO:0015705,Diseases of the nervous system
obsolete autosomal recessive complex spastic paraplegia,MONDO:0015089,Diseases of the nervous system
TH-deficient dopa-responsive dystonia,MONDO:0011551,Diseases of the nervous system
autosomal recessive juvenile Parkinson disease 2,MONDO:0010820,Diseases of the nervous system
obsolete autosomal recessive pure spastic paraplegia,MONDO:0015090,Diseases of the nervous system
autosomal recessive hypohidrotic ectodermal dysplasia,MONDO:0016619,Diseases of the nervous system
"neuronopathy, distal hereditary motor, autosomal recessive 4",MONDO:0012608,Diseases of the nervous system
"centronuclear myopathy, HACD1-related, dog",MONDO:1012674,Diseases of the nervous system
autosomal recessive limb-girdle muscular dystrophy type 2D,MONDO:0011968,Diseases of the nervous system
optic atrophy 6,MONDO:0009786,Diseases of the nervous system
"autosomal recessive optic atrophy, OPA7 type",MONDO:0013069,Diseases of the nervous system
Charlevoix-Saguenay spastic ataxia,MONDO:0010041,Diseases of the nervous system
hereditary spastic paraplegia 11,MONDO:0011445,Diseases of the nervous system
hereditary spastic paraplegia 14,MONDO:0011522,Diseases of the nervous system
hereditary spastic paraplegia 15,MONDO:0010044,Diseases of the nervous system
hereditary spastic paraplegia 18,MONDO:0012639,Diseases of the nervous system
Troyer syndrome,MONDO:0010156,Diseases of the nervous system
mast syndrome,MONDO:0009568,Diseases of the nervous system
hereditary spastic paraplegia 23,MONDO:0010046,Diseases of the nervous system
hereditary spastic paraplegia 24,MONDO:0011862,Diseases of the nervous system
hereditary spastic paraplegia 25,MONDO:0011992,Diseases of the nervous system
hereditary spastic paraplegia 26,MONDO:0012213,Diseases of the nervous system
hereditary spastic paraplegia 27,MONDO:0012181,Diseases of the nervous system
hereditary spastic paraplegia 28,MONDO:0012256,Diseases of the nervous system
hereditary spastic paraplegia 30,MONDO:0012476,Diseases of the nervous system
hereditary spastic paraplegia 32,MONDO:0012643,Diseases of the nervous system
hereditary spastic paraplegia 35,MONDO:0012866,Diseases of the nervous system
hereditary spastic paraplegia 39,MONDO:0012787,Diseases of the nervous system
hereditary spastic paraplegia 5A,MONDO:0010047,Diseases of the nervous system
hereditary spastic paraplegia 7,MONDO:0011803,Diseases of the nervous system
obsolete autosomal recessive optic atrophy,MONDO:0014753,Diseases of the nervous system
Avoidant-restrictive food intake disorder,-1,Diseases of the nervous system
"Avulsion of eye, bilateral",-1,Diseases of the nervous system
"Avulsion of eye, unilateral",-1,Diseases of the nervous system
Avulsion of lateral canthus,-1,Diseases of the nervous system
Avulsion of medial canthus,-1,Diseases of the nervous system
Avulsion of scalp,-1,Diseases of the nervous system
Avulsion of tooth,-1,Diseases of the nervous system
Awareness under general anaesthesia,-1,Diseases of the nervous system
Awareness under general anaesthesia during labour or delivery,-1,Diseases of the nervous system
Awareness under general anaesthesia during pregnancy,-1,Diseases of the nervous system
Awareness under general anaesthesia during the puerperium,-1,Diseases of the nervous system
Axillary hyperhidrosis,-1,Diseases of the nervous system
Axillary paralysis,-1,Diseases of the nervous system
"Axonal Injuries, Diffuse",-1,Central Nervous System Diseases
"Axonal Injury, Diffuse",-1,Central Nervous System Diseases
giant axonal neuropathy 1,MONDO:0009749,Neuromuscular Diseases
Azorean Disease (Machado Joseph),-1,Neurodegenerative Diseases
"Sandhoff disease, adult form",MONDO:0017723,Diseases of the nervous system
"Sandhoff disease, infantile form",MONDO:0017721,Diseases of the nervous system
"Sandhoff disease, juvenile form",MONDO:0017722,Diseases of the nervous system
"Tay-Sachs disease, B1 variant",MONDO:0017728,Diseases of the nervous system
maple syrup urine disease,MONDO:0009563,Central Nervous System Diseases
tetrahydrobiopterin-responsive hyperphenylalaninemia/phenylketonuria,MONDO:0017389,Diseases of the nervous system
"encephalopathy, bovine spongiform",MONDO:0025149,Central Nervous System Diseases
Back syndrome with radiating pain,-1,Diseases of the nervous system
Back syndrome without radiating pain,-1,Diseases of the nervous system
central nervous system infectious disorder,MONDO:0024619,Central Nervous System Diseases
bacterial meningitis,MONDO:0006670,Central Nervous System Diseases
infectious encephalitis,MONDO:0020067,Diseases of the nervous system
Bacterial epidural granuloma,-1,Diseases of the nervous system
Bacterial infection of certain specified cranial nerve,-1,Diseases of the nervous system
obsolete infectious disease with peripheral neuropathy,MONDO:0016104,Diseases of the nervous system
Bacterial meningitis due to methicillin resistant Staphylococcus aureus,-1,Diseases of the nervous system
Bacterial meningitis type identified,-1,Diseases of the nervous system
Bacterial myelitis,-1,Diseases of the nervous system
Bacterial spinal cord abscess,-1,Diseases of the nervous system
Bacterial spinal cord granuloma,-1,Diseases of the nervous system
Ballism,-1,Diseases of the nervous system
Unverricht-Lundborg syndrome,MONDO:0009698,Central Nervous System Diseases
lissencephaly due to LIS1 mutation,MONDO:0011830,Nervous System Malformations
Bardet-Biedl syndrome 2,MONDO:0014432,Central Nervous System Diseases
baroreflex failure,MONDO:0018617,Diseases of the nervous system
Barth syndrome,MONDO:0010543,Diseases of the nervous system
basal ganglia cerebrovascular disorder,MONDO:0006505,Central Nervous System Diseases
basal ganglia disorder,MONDO:0003996,Central Nervous System Diseases
Basal Ganglia Hemorrhage,-1,Central Nervous System Diseases
Basal Ganglionic Hemorrhage,-1,Central Nervous System Diseases
basal encephalocele,MONDO:0017082,Diseases of the nervous system
Basilar Skull Fracture,-1,"Trauma, Nervous System"
Basilar Skull Fractures,-1,"Trauma, Nervous System"
basilar artery insufficiency,MONDO:0002250,Central Nervous System Diseases
Basilar artery aneurysm,-1,Diseases of the nervous system
congenital myopathy,MONDO:0019952,Neuromuscular Diseases
Thomsen and Becker disease,MONDO:0009710,Neuromuscular Diseases
Battered person syndrome,-1,Diseases of the nervous system
Becker muscular dystrophy,MONDO:0010311,Diseases of the nervous system
REM sleep behavior disorder,MONDO:0005937,Sleep Wake Disorders
Behavioural or psychological disturbances in dementia,-1,Diseases of the nervous system
Bell's palsy,MONDO:0005665,Cranial Nerve Diseases
Benedikt syndrome,-1,Diseases of the nervous system
essential tremor,MONDO:0003233,Central Nervous System Diseases
pseudotumor cerebri,MONDO:0009468,Central Nervous System Diseases
benign neonatal seizures,MONDO:0016027,Central Nervous System Diseases
"seizures, benign familial infantile, 3",MONDO:0011904,Central Nervous System Diseases
benign paroxysmal positional vertigo,MONDO:8000018,Neurologic Manifestations
benign adult familial myoclonic epilepsy,MONDO:0019448,Diseases of the nervous system
self-limited epilepsy with centrotemporal spikes,MONDO:0007295,Diseases of the nervous system
benign essential blepharospasm,MONDO:0011728,Diseases of the nervous system
benign familial infantile epilepsy,MONDO:0017615,Diseases of the nervous system
obsolete benign familial mesial temporal lobe epilepsy,MONDO:0015586,Diseases of the nervous system
benign familial nocturnal alternating hemiplegia of childhood,MONDO:0016209,Diseases of the nervous system
benign focal seizures of adolescence,MONDO:0015471,Diseases of the nervous system
"chorea, benign familial",MONDO:0008979,Diseases of the nervous system
benign idiopathic neonatal seizures,MONDO:0018981,Diseases of the nervous system
benign infantile focal epilepsy with midline spikes and wave during sleep,MONDO:0015641,Diseases of the nervous system
benign infantile seizures associated with mild gastroenteritis,MONDO:0015640,Diseases of the nervous system
Benign neoplasm of peripheral nerves and autonomic nervous system of abdomen,-1,Diseases of the nervous system
"Benign neoplasm of peripheral nerves and autonomic nervous system of face, head and neck",-1,Diseases of the nervous system
"Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb, including hip",-1,Diseases of the nervous system
Benign neoplasm of peripheral nerves and autonomic nervous system of pelvis,-1,Diseases of the nervous system
Benign neoplasm of peripheral nerves and autonomic nervous system of thorax,-1,Diseases of the nervous system
"Benign neoplasm of peripheral nerves and autonomic nervous system of trunk, unspecified",-1,Diseases of the nervous system
"Benign neoplasm of peripheral nerves and autonomic nervous system, upper limb, including shoulder",-1,Diseases of the nervous system
autonomic nervous system benign neoplasm,MONDO:0850123,Diseases of the nervous system
benign non-familial infantile seizures,MONDO:0015637,Diseases of the nervous system
self-limited childhood occipital epilepsy,MONDO:0007558,Diseases of the nervous system
benign paroxysmal torticollis of infancy,MONDO:0019113,Diseases of the nervous system
benign partial epilepsy of infancy with complex partial seizures,MONDO:0015638,Diseases of the nervous system
benign partial epilepsy with secondarily generalized seizures in infancy,MONDO:0015639,Diseases of the nervous system
benign peripheral nerve sheath tumor,MONDO:0016752,Diseases of the nervous system
Benign positional paroxysmal vertigo lateral canal,-1,Diseases of the nervous system
Mollaret’s meningitis,MONDO:1030004,Diseases of the nervous system
schwannoma,MONDO:0002546,Diseases of the nervous system
myoclonic epilepsy in infancy,MONDO:0100566,Diseases of the nervous system
beriberi,MONDO:0006676,Central Nervous System Diseases
Bernard-Soulier syndrome,MONDO:0009276,Neurologic Manifestations
GM1 gangliosidosis,MONDO:0018149,Central Nervous System Diseases
Beta haemolytic streptococcal bacterial meningitis,-1,Diseases of the nervous system
GM1 gangliosidosis type 1,MONDO:0009260,Central Nervous System Diseases
Bethlem myopathy,MONDO:0008029,Diseases of the nervous system
Beuren Syndrome,-1,Neurologic Manifestations
lymphedema-atrial septal defects-facial changes syndrome,MONDO:0011166,Diseases of the nervous system
Bickerstaff brainstem encephalitis,MONDO:0019208,Diseases of the nervous system
isolated encephalocele,MONDO:0016057,Nervous System Malformations
spina bifida,MONDO:0008449,Nervous System Malformations
Bilateral Hearing Loss,-1,Neurologic Manifestations
Bilateral Hearing Losses,-1,Neurologic Manifestations
idiopathic bilateral vestibulopathy,MONDO:0015743,Neurologic Manifestations
Bilateral Vestibular Loss,-1,Neurologic Manifestations
Bilateral acquired athetosis,-1,Diseases of the nervous system
bilateral frontal polymicrogyria,MONDO:0016162,Diseases of the nervous system
bilateral frontoparietal polymicrogyria,MONDO:0011738,Diseases of the nervous system
bilateral generalized polymicrogyria,MONDO:0013907,Diseases of the nervous system
hemimegalencephaly,MONDO:0020492,Diseases of the nervous system
bilateral parasagittal parieto-occipital polymicrogyria,MONDO:0012986,Diseases of the nervous system
bilateral perisylvian polymicrogyria,MONDO:0020340,Diseases of the nervous system
bilateral polymicrogyria,MONDO:0017091,Diseases of the nervous system
bilateral striopallidodentate calcinosis,MONDO:0008947,Diseases of the nervous system
bilirubin encephalopathy,MONDO:0018477,Central Nervous System Diseases
binge eating disorder,MONDO:0005582,Diseases of the nervous system
multi-infarct dementia,MONDO:0043224,Diseases of the nervous system
Biological Clock Disturbance,-1,Chronobiology Disorders
Biological Clock Disturbances,-1,Chronobiology Disorders
bipolar disorder,MONDO:0004985,Diseases of the nervous system
bipolar I disorder,MONDO:0001866,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, additional symptoms unspecified",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with melancholia and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with melancholia and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptom, melancholia, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms and seasonal pattern and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms, melancholia, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with prominent anxiety symptoms, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with seasonal pattern and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with seasonal pattern and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, mild, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, additional symptoms unspecified",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptom, melancholia, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms, melancholia, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling",-1,Diseases of the nervous system
"Bipolar type I disorder, current episode depressive, moderate with psychotic symptoms, with prominent anxiety symptoms, melancholia, seasonal pattern, and rapid cycling, current episode perinatal",-1,Diseases of the nervous system
